symbol,tradeSide,sourceList,currentPrice,currentPercentMove,historicalMaxGainPercent,historicalMaxLossPercent,comparableSampleCount,avgExtensionPercent,avgClosePercent,typicalHighTime,typicalLowTime,timePatternLabel,rsi14,rsiLabel,bollingerState,atr14,swingStopReference,stopLoss,stopLossType,targetMin,targetMax,expectedExitZone,riskAmount,rewardAmount,riskRewardRatio,finalDecision,decisionNotes,runId,runTime
BALKRISIND.NS,SHORT,TOP_LOSER,2167.60009765625,-2.9548709309806527,8.08,3.04,19,4.37,2.48,09:20,14:20,19 eligible days,54.12,NEUTRAL,INSIDE_BANDS,67.84,2160.0,2269.36,ATR,2116.99,2209.5,2113.76,101.76,50.61,0.5,WATCHLIST,RSI is neutral; Price is inside Bollinger Bands; Historical extension supports further move; Technical indicators are neutral or do not confirm momentum; Consolidated over 19 eligible days with avg daily variation 4.37%,20260629201110,2026-06-29T20:11:11.795256+05:30
CIPLA.NS,LONG,TOP_GAINER,1454.0999755859375,0.9721547279593404,6.18,3.08,9,4.24,2.67,13:45,09:15,9 eligible days,66.7,BULLISH,UPPER_BAND_TOUCH,29.12,1449.0,1410.42,ATR,1438.66,1499.74,1492.97,43.68,45.64,1.04,TRADE,RSI confirms bullish momentum; Price is pressing upper band (UPPER_BAND_TOUCH); Historical extension supports further move; Setup meets minimum risk-reward ratio of 0.1 with technical confirmation; Consolidated over 9 eligible days with avg daily variation 4.24%,20260629201110,2026-06-29T20:11:11.795256+05:30
DRREDDY.NS,LONG,TOP_GAINER,1375.699951171875,1.8659719490466495,10.08,3.13,9,4.76,2.5,13:00,09:15,9 eligible days,70.8,BULLISH,UPPER_BAND_BREAKOUT,27.74,1372.1,1334.09,ATR,1362.69,1427.59,1410.14,41.61,51.89,1.25,TRADE,RSI confirms bullish momentum; Price is pressing upper band (UPPER_BAND_BREAKOUT); Historical extension supports further move; Setup meets minimum risk-reward ratio of 0.1 with technical confirmation; Consolidated over 9 eligible days with avg daily variation 4.76%,20260629201110,2026-06-29T20:11:11.795256+05:30
IPCALAB.NS,LONG,TOP_GAINER,1647.199951171875,1.7858185424067412,8.63,3.18,18,4.31,2.27,10:20,11:32,18 eligible days,56.29,NEUTRAL,INSIDE_BANDS,47.14,1635.0,1576.49,ATR,1618.87,1688.52,1684.63,70.71,41.32,0.58,WATCHLIST,RSI is neutral; Price is inside Bollinger Bands; Historical extension supports further move; Technical indicators are neutral or do not confirm momentum; Consolidated over 18 eligible days with avg daily variation 4.31%,20260629201110,2026-06-29T20:11:11.795256+05:30
LICHSGFIN.NS,LONG,TOP_GAINER,560.75,1.9823633532850646,6.11,3.28,14,4.21,2.68,12:25,11:35,14 eligible days,51.25,NEUTRAL,INSIDE_BANDS,12.81,550.45,541.53,ATR,550.64,573.78,575.76,19.22,13.03,0.68,WATCHLIST,RSI is neutral; Price is inside Bollinger Bands; Historical extension supports further move; Technical indicators are neutral or do not confirm momentum; Consolidated over 14 eligible days with avg daily variation 4.21%,20260629201110,2026-06-29T20:11:11.795256+05:30
MAXHEALTH.NS,LONG,TOP_GAINER,1149.9000244140625,2.3634708154310093,6.71,3.13,17,4.04,2.81,13:15,09:15,17 eligible days,71.82,BULLISH,INSIDE_BANDS,29.51,1144.3,1105.64,ATR,1132.14,1177.93,1182.16,44.27,28.03,0.63,TRADE,RSI confirms bullish momentum; Price is inside Bollinger Bands; Historical extension supports further move; Setup meets minimum risk-reward ratio of 0.1 with technical confirmation; Consolidated over 17 eligible days with avg daily variation 4.04%,20260629201110,2026-06-29T20:11:11.795256+05:30
NESTLEIND.NS,SHORT,TOP_LOSER,1387.300048828125,-1.0908261103755503,8.44,3.02,5,4.5,3.57,10:20,12:05,5 eligible days,50.84,NEUTRAL,INSIDE_BANDS,29.18,1382.4,1431.07,ATR,1364.22,1425.59,1337.8,43.77,23.08,0.53,WATCHLIST,RSI is neutral; Price is inside Bollinger Bands; Historical extension supports further move; Technical indicators are neutral or do not confirm momentum; Consolidated over 5 eligible days with avg daily variation 4.50%,20260629201110,2026-06-29T20:11:11.795256+05:30
SRF.NS,SHORT,TOP_LOSER,2664.699951171875,-2.495515884551291,6.64,3.0,15,3.65,2.16,10:15,10:05,15 eligible days,50.74,NEUTRAL,INSIDE_BANDS,64.66,2651.9,2761.69,ATR,2614.84,2710.31,2607.03,96.99,49.86,0.51,WATCHLIST,RSI is neutral; Price is inside Bollinger Bands; Historical extension supports further move; Technical indicators are neutral or do not confirm momentum; Consolidated over 15 eligible days with avg daily variation 3.65%,20260629201110,2026-06-29T20:11:11.795256+05:30
TATACONSUM.NS,SHORT,TOP_LOSER,1112.800048828125,-1.6352867675700637,5.62,3.18,10,3.74,2.66,11:38,10:48,10 eligible days,51.26,NEUTRAL,INSIDE_BANDS,25.04,1102.2,1150.36,ATR,1096.37,1137.47,1083.15,37.56,16.43,0.44,WATCHLIST,RSI is neutral; Price is inside Bollinger Bands; Historical extension supports further move; Technical indicators are neutral or do not confirm momentum; Consolidated over 10 eligible days with avg daily variation 3.74%,20260629201110,2026-06-29T20:11:11.795256+05:30
UBL.NS,SHORT,TOP_LOSER,1322.800048828125,-0.45153520315501405,4.07,3.14,7,3.57,1.85,10:05,09:20,7 eligible days,37.95,BEARISH,INSIDE_BANDS,28.97,1319.6,1366.26,ATR,1296.82,1343.17,1298.27,43.45,25.98,0.6,TRADE,RSI confirms bearish momentum; Price is inside Bollinger Bands; Historical extension supports further move; Setup meets minimum risk-reward ratio of 0.1 with technical confirmation; Consolidated over 7 eligible days with avg daily variation 3.57%,20260629201110,2026-06-29T20:11:11.795256+05:30
ZENTEC.NS,SHORT,TOP_LOSER,1742.5999755859375,-1.6147231467014755,11.05,3.08,42,5.02,2.54,09:52,11:02,42 eligible days,49.72,NEUTRAL,INSIDE_BANDS,83.63,1725.6,1868.04,ATR,1707.51,1793.25,1698.3,125.44,35.09,0.28,WATCHLIST,RSI is neutral; Price is inside Bollinger Bands; Historical extension supports further move; Technical indicators are neutral or do not confirm momentum; Consolidated over 42 eligible days with avg daily variation 5.02%,20260629201110,2026-06-29T20:11:11.795256+05:30
